               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.049899,             0.17028,             0.01396,             0.63405,             0.44723,             0.36842,             0.22517,             0.04624,             0.14472,            0.016767,              0.0007,              0.0007,              0.0937
                   1,            0.049851,             0.16612,            0.014146,             0.63449,             0.45126,             0.36636,             0.21534,            0.046559,             0.14447,            0.016777,           0.0014703,           0.0014703,             0.08647
                   2,            0.050051,               0.166,            0.013862,             0.64541,              0.4419,             0.37169,             0.21981,             0.04623,             0.14463,            0.016751,           0.0022089,           0.0022089,            0.079209
                   3,            0.049881,             0.16532,             0.01474,             0.63474,             0.43708,             0.35996,             0.21742,            0.046237,             0.14424,            0.016689,           0.0029159,           0.0029159,            0.071916
                   4,            0.049472,             0.17008,            0.013839,             0.63153,             0.45452,             0.36485,             0.21191,             0.04691,             0.14702,            0.016806,           0.0035911,           0.0035911,            0.064591
                   5,            0.050569,             0.17326,            0.014081,             0.62031,             0.44522,             0.35944,             0.21424,            0.046515,             0.14491,            0.016496,           0.0042347,           0.0042347,            0.057235
                   6,            0.054375,             0.16971,            0.014671,             0.65539,             0.43035,             0.36153,             0.19415,            0.049511,             0.14809,            0.016481,           0.0048466,           0.0048466,            0.049847
                   7,             0.05861,             0.17517,            0.013663,             0.65395,             0.48443,             0.36597,             0.21068,            0.048782,             0.15752,            0.016591,           0.0054268,           0.0054268,            0.042427
                   8,            0.059227,               0.211,            0.015265,             0.65076,             0.43249,             0.34094,             0.16767,            0.051844,              0.1768,            0.016986,           0.0059754,           0.0059754,            0.034975
                   9,            0.056738,             0.18363,            0.015232,             0.62493,             0.44057,             0.33897,             0.16905,            0.052353,             0.15613,            0.017336,           0.0064922,           0.0064922,            0.027492
                  10,            0.058507,             0.17655,            0.014478,             0.60285,             0.42768,              0.3286,             0.16215,            0.051693,              0.1561,            0.017259,           0.0069774,           0.0069774,            0.019977
                  11,            0.058713,             0.18614,            0.014475,             0.53373,             0.42432,             0.25851,             0.13225,            0.052982,             0.15794,             0.01783,           0.0074309,           0.0074309,            0.012431
                  12,            0.060658,             0.17979,            0.014748,             0.69036,             0.43211,             0.34942,             0.17998,            0.052097,             0.15792,            0.017395,            0.007624,            0.007624,            0.007624
                  13,            0.057483,              0.1771,            0.014877,             0.65384,              0.4145,             0.32264,             0.18507,            0.050415,             0.15232,            0.016942,            0.007624,            0.007624,            0.007624
                  14,            0.057645,             0.16346,            0.014776,             0.64808,             0.46066,              0.3585,             0.19765,            0.049113,             0.15076,            0.016686,            0.007426,            0.007426,            0.007426
                  15,            0.057246,              0.1694,            0.014471,             0.59897,              0.4292,             0.32766,             0.17264,            0.050821,             0.15163,            0.016881,            0.007228,            0.007228,            0.007228
                  16,            0.058102,             0.18107,             0.01429,             0.64017,             0.42037,             0.34802,             0.19054,            0.049391,             0.15052,             0.01733,             0.00703,             0.00703,             0.00703
                  17,            0.055219,             0.17522,             0.01377,             0.60507,              0.4375,             0.33669,             0.18772,            0.049268,             0.15156,            0.016976,            0.006832,            0.006832,            0.006832
                  18,            0.056232,             0.17303,            0.013915,             0.69887,             0.39286,             0.32138,             0.17027,            0.050428,             0.14834,            0.016686,            0.006634,            0.006634,            0.006634
                  19,            0.054766,             0.17192,            0.014243,             0.60003,             0.41516,             0.31476,             0.17809,            0.047476,             0.15061,            0.016768,            0.006436,            0.006436,            0.006436
                  20,             0.05457,             0.17537,            0.013596,               0.668,             0.35418,             0.31233,             0.18167,            0.047543,             0.14938,            0.016992,            0.006238,            0.006238,            0.006238
                  21,            0.053029,             0.16586,            0.013652,             0.59567,             0.43777,             0.31732,             0.17731,            0.047547,             0.14961,            0.017158,             0.00604,             0.00604,             0.00604
                  22,            0.052051,             0.17318,            0.013542,             0.60569,             0.41811,             0.31775,             0.18591,            0.047089,             0.15013,            0.016753,            0.005842,            0.005842,            0.005842
                  23,            0.051863,             0.16475,            0.013222,             0.70707,             0.42695,             0.34519,             0.19925,            0.047652,             0.14783,            0.016668,            0.005644,            0.005644,            0.005644
                  24,             0.05385,             0.17343,             0.01364,             0.63121,             0.41968,             0.33052,             0.19512,            0.046866,             0.14849,            0.016386,            0.005446,            0.005446,            0.005446
                  25,             0.05047,             0.15729,            0.013285,             0.68124,             0.42229,             0.34776,             0.20501,             0.04595,             0.14763,            0.016348,            0.005248,            0.005248,            0.005248
                  26,            0.051118,             0.16255,            0.013192,             0.58791,             0.42492,             0.31605,              0.1894,            0.046245,             0.15029,            0.016838,             0.00505,             0.00505,             0.00505
                  27,            0.052216,             0.16622,            0.013311,             0.64724,             0.41666,             0.33647,             0.20255,            0.046037,             0.15175,            0.016501,            0.004852,            0.004852,            0.004852
                  28,            0.050872,             0.16074,            0.013089,             0.62006,             0.36775,             0.29063,             0.16917,            0.046715,              0.1533,            0.016589,            0.004654,            0.004654,            0.004654
                  29,            0.051814,               0.176,            0.012654,             0.63416,             0.37354,             0.30289,             0.17398,            0.045866,             0.15241,            0.016193,            0.004456,            0.004456,            0.004456
                  30,            0.050073,             0.16468,            0.012883,             0.61238,             0.31839,             0.27291,             0.15618,            0.045937,             0.15672,            0.016328,            0.004258,            0.004258,            0.004258
                  31,            0.049704,             0.16529,            0.013223,             0.57977,             0.39845,             0.29887,             0.17715,              0.0456,             0.15402,            0.016025,             0.00406,             0.00406,             0.00406
                  32,            0.050957,             0.16589,            0.012532,             0.60986,             0.46291,             0.33598,             0.20299,            0.044491,             0.14892,            0.015627,            0.003862,            0.003862,            0.003862
                  33,            0.050199,             0.16074,            0.012495,             0.62476,             0.41081,             0.32781,             0.19387,            0.045286,             0.14967,            0.015813,            0.003664,            0.003664,            0.003664
                  34,            0.049379,             0.16682,            0.012591,             0.61281,             0.39776,             0.31486,             0.18246,            0.045575,             0.15019,            0.015843,            0.003466,            0.003466,            0.003466
