   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.58037,             0.77285,             0.69379,              0.2994,              0.0732,             0.18735,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.45511,              0.7036,             0.54846,             0.20941,            0.091187,             0.20047,                   0,                0.01,             0.01029,             0.90244,             0.00061,               3.045,             0.74065,                 0.1,             0.05755,                 0.5,              1.1142,                   1,              1.0599,                 0.2,              3.8409,                   0,             0.01723,             0.72694,                 0.4,                   0,             0.11522,             0.43376,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9817
             0.72704,             0.82266,             0.83361,             0.32768,            0.072483,             0.19308,                   0,                0.01,                0.01,             0.91927,             0.00049,              3.4292,             0.90562,             0.10585,                0.05,             0.39982,              1.0627,                   1,               1.037,                 0.2,              3.6973,                   0,               0.015,                 0.7,             0.41315,                   0,             0.09927,             0.47432,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.57579,              0.8144,             0.70551,             0.30085,            0.087563,             0.19573,                   0,             0.01107,                0.01,                0.98,             0.00052,              2.9653,             0.77142,             0.08542,             0.05975,             0.45912,              1.1036,             0.94566,                   1,                 0.2,              4.2574,                   0,             0.01332,             0.57924,                 0.4,                   0,             0.09594,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9261
               0.718,             0.79344,              0.8113,             0.35574,            0.064667,             0.17456,                   0,                0.01,                0.01,             0.94725,             0.00052,              3.1274,             0.87384,             0.09559,             0.04515,                 0.5,             0.83538,             0.94849,             0.96703,                 0.2,              3.9674,                   0,               0.015,              0.5986,             0.38925,                   0,                 0.1,             0.54249,                   0,                   0,                   0,                 0.5,             0.93451,                   0,                   0,              2.5504
