               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041745,            0.043971,            0.016852,             0.54469,              0.7257,             0.62824,             0.31664,            0.041209,            0.035981,            0.018886,           0.0036568,           0.0036568,           0.0036568
                  37,            0.040431,            0.044266,            0.016568,             0.50206,             0.74057,             0.60818,             0.33075,            0.039567,            0.035662,            0.018888,            0.003421,            0.003421,            0.003421
                  38,            0.039888,            0.043358,            0.016907,             0.67625,             0.57098,             0.61109,             0.30976,            0.040183,            0.036528,             0.01844,           0.0031852,           0.0031852,           0.0031852
                  39,            0.040133,            0.044373,            0.016461,             0.55209,             0.65035,             0.61858,             0.30607,            0.039249,             0.03664,            0.018041,           0.0029494,           0.0029494,           0.0029494
                  40,            0.039856,            0.042106,            0.016226,             0.56025,             0.68932,             0.63891,             0.32199,            0.039939,            0.036885,            0.018022,           0.0027136,           0.0027136,           0.0027136
                  41,            0.039172,            0.043778,            0.015795,             0.55367,              0.6974,             0.62256,             0.32228,            0.038822,            0.037739,            0.017666,           0.0024778,           0.0024778,           0.0024778
                  42,             0.03817,            0.041238,             0.01502,             0.55127,             0.68917,             0.62334,             0.34119,            0.038491,            0.037842,             0.01767,            0.002242,            0.002242,            0.002242
                  43,            0.037733,            0.041575,            0.014981,             0.58255,             0.73435,             0.63184,             0.35284,            0.038213,            0.037424,            0.017473,           0.0020061,           0.0020061,           0.0020061
                  44,             0.03764,            0.041576,            0.015298,             0.58514,             0.67542,             0.62955,             0.35449,            0.037957,            0.037128,             0.01777,           0.0017703,           0.0017703,           0.0017703
                  45,            0.037065,             0.04078,            0.015144,             0.58274,             0.70663,             0.61886,             0.34541,            0.037714,            0.037693,            0.017416,           0.0015345,           0.0015345,           0.0015345
                  46,            0.037178,            0.041798,            0.015281,             0.71382,             0.71068,             0.62617,             0.34327,            0.038024,            0.037586,            0.017157,           0.0012987,           0.0012987,           0.0012987
                  47,            0.036915,            0.042087,            0.014543,             0.59986,             0.69036,              0.6215,             0.34489,            0.037698,            0.038429,            0.017159,           0.0010629,           0.0010629,           0.0010629
                  48,             0.03755,            0.041152,            0.014927,             0.60105,             0.66674,              0.6238,             0.35763,            0.037805,            0.038397,            0.017126,          0.00082711,          0.00082711,          0.00082711
                  49,            0.037073,            0.041511,            0.014745,             0.61154,             0.69865,             0.63324,             0.35526,            0.037773,            0.037942,            0.017203,          0.00059131,          0.00059131,          0.00059131
