               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064947,             0.16499,                   0,             0.98291,             0.95592,             0.98051,             0.60266,            0.053659,             0.14813,                   0,              0.0007,              0.0007,            0.089599
                   1,            0.062157,             0.15736,                   0,             0.98493,             0.95291,             0.98026,             0.60381,            0.053613,             0.14779,                   0,           0.0014703,           0.0014703,            0.082722
                   2,            0.064189,             0.16744,                   0,             0.98289,             0.95467,             0.98053,             0.60254,             0.05361,             0.14804,                   0,           0.0022089,           0.0022089,            0.075813
                   3,            0.063555,             0.16336,                   0,             0.97876,             0.95722,             0.97993,             0.56411,            0.054887,             0.14964,                   0,           0.0029159,           0.0029159,            0.068873
                   4,            0.062276,             0.16664,                   0,             0.97921,             0.95568,              0.9786,             0.59667,            0.053765,             0.14937,                   0,           0.0035911,           0.0035911,            0.061901
                   5,            0.063374,             0.16385,                   0,              0.9774,             0.95822,              0.9814,             0.61297,            0.053495,              0.1476,                   0,           0.0042347,           0.0042347,            0.054897
                   6,            0.066498,             0.17376,                   0,             0.97839,             0.95568,             0.97908,              0.5845,            0.054111,             0.14866,                   0,           0.0048466,           0.0048466,            0.047862
                   7,            0.068653,             0.16962,                   0,             0.98063,             0.96399,             0.97894,             0.55092,            0.055957,             0.16863,                   0,           0.0054268,           0.0054268,            0.040795
                   8,            0.066141,             0.20024,                   0,             0.95521,              0.9452,             0.97058,             0.44316,            0.059736,             0.17523,                   0,           0.0059754,           0.0059754,            0.033696
                   9,            0.067666,             0.17372,                   0,              0.9276,             0.86954,             0.94312,              0.4795,            0.058318,             0.16062,                   0,           0.0064922,           0.0064922,            0.026566
                  10,            0.067249,             0.17783,                   0,             0.95837,             0.92471,             0.97438,             0.55978,             0.05532,             0.15454,                   0,           0.0069774,           0.0069774,            0.019404
