   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
              0.3987,             0.34011,             0.22511,            0.085423,            0.080553,            0.059621,            0.044667,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.53482,             0.40462,             0.29682,             0.13997,            0.059641,            0.046137,            0.041731,             0.01191,             0.01005,               0.937,             0.00051,              3.0519,              0.9362,             0.09596,             0.03975,             0.55787,                   1,             0.75765,             0.96763,                 0.2,              4.2567,                   0,             0.01535,                 0.7,                 0.4,                   0,                 0.1,             0.43709,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               3.376
             0.56752,             0.39794,             0.27468,              0.1125,            0.063952,            0.044721,            0.042209,             0.01196,             0.01002,               0.937,             0.00051,              3.0766,             0.93562,             0.09513,             0.04051,             0.55787,              1.0056,             0.75765,              0.9619,                 0.2,              4.2567,                   0,             0.01554,                 0.7,                 0.4,                   0,             0.10017,              0.4405,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               3.376
              0.3261,             0.35934,             0.24824,             0.09506,            0.070487,            0.032558,            0.042011,             0.01196,             0.01351,             0.85804,             0.00051,              3.0766,                0.95,              0.1093,             0.04783,             0.55787,              1.0056,             0.45755,              1.0344,                 0.2,               4.199,                   0,             0.01209,             0.57565,               0.339,                   0,              0.1147,              0.3774,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               3.376
             0.57299,             0.32124,              0.2185,            0.087264,            0.074521,            0.041495,            0.042966,             0.01162,             0.01532,             0.77138,             0.00051,              2.7022,             0.87859,             0.12418,             0.05547,             0.54388,             0.91626,             0.55428,              1.0253,                 0.2,               4.199,                   0,             0.01209,             0.71034,             0.40094,                   0,              0.1147,              0.3774,                   0,                   0,                   0,                 0.5,             0.96984,                   0,                   0,              4.2744
